year,user,comnam,cusip,prc,horrizon,follow,afacc,ni,size,loss,roa,roe,mb,cash,post,post_use,treat,post_treat
2008,1,APPLE INC,3783310,85.35,5.831882477,28.91666667,-0.00362937,4834,10.58590235,0,0.122157081,0.229862102,4.801100008,0.468497258,0,0,1,0
2009,1,APPLE INC,3783310,210.73199,5.80814249,36.33333333,-0.01219426,8235,10.76852709,0,0.173364771,0.260271808,5.271145452,0.13299808,1,0,1,1
2010,1,APPLE INC,3783310,322.56,5.80814249,43.75,-0.05688157,14013,11.22769372,0,0.18638522,0.293214204,5.438398182,0.237068693,1,1,1,1
2011,1,APPLE INC,3783310,405,5.811140993,52.63636364,-0.04420441,25922,11.66454724,0,0.222753091,0.338341056,4.625098292,0.130548129,1,1,1,1
2012,1,APPLE INC,3783310,532.17291,5.916202063,51.76923077,-0.03742526,41733,12.07860852,0,0.237033124,0.353041198,5.300315987,0.092342594,1,0,1,1
2013,1,APPLE INC,3783310,561.02002,5.84932478,54.75,-0.0220565,37037,12.2404789,0,0.178922705,0.299775798,3.469876711,0.080987595,1,0,1,1
2006,1,ABAXIS INC,256710,19.25,5.837730447,2.916666667,-0.07909604,10.073,4.731459166,0,0.098067468,0.114710973,5.885466565,0.122571559,0,0,1,0
2007,0,ABAXIS INC,256710,35.86,5.837730447,3.333333333,-0.02204586,12.503,4.803225647,0,0.10341348,0.11947558,4.805855957,0.167638612,0,0,1,0
2008,0,ABAXIS INC,256710,16.03,5.857933155,4.25,-0.04513746,12.013,4.953789773,0,0.085373567,0.094671059,2.979895659,0.407243824,0,0,1,0
2009,0,ABAXIS INC,256710,25.55,5.855071922,6.916666667,-0.08200259,13.023,5.128809364,0,0.077602851,0.088520178,4.086659643,0.197973151,1,1,1,1
2010,0,ABAXIS INC,256710,26.85,5.857933155,6.25,-0.04640371,14.537,5.243121731,0,0.077217678,0.086197287,3.862536644,0.259039663,1,1,1,1
2011,0,ABAXIS INC,256710,27.67,5.837730447,6.666666667,-0.04045605,13.091,5.208589576,0,0.071993445,0.081928842,3.955889915,0.243508977,1,1,1,1
2012,0,ABAXIS INC,256710,37.1,5.837730447,7.25,-0.04854369,27.459,5.312037809,0,0.13609532,0.155845262,5.940715348,0.301975406,1,1,1,1
2013,1,ABBVIE INC,00287Y10,52.81,5.860786224,12.91666667,-4.33826645,4128,10.28188974,0,0.141379547,0.918967053,18.66173963,0.355265107,1,0,0,0
2005,0,A B M INDUSTRIES INC,95710,19.55,5.605802066,3,-0.00481928,57.941,6.80761445,0,0.048194664,0.091514227,2.038612684,0.067408169,0,0,0,0
2006,0,A B M INDUSTRIES INC,95710,22.71,5.891644212,2.333333333,-0.09605662,93.205,6.92488178,0,0.091712471,0.172204188,1.784566196,0.148278762,0,0,0,0
2007,0,A B M INDUSTRIES INC,95710,20.39,5.891644212,2,-0.02014099,52.44,7.0225766,0,0.046793311,0.086569224,1.942107046,0.134011103,0,0,0,0
2008,0,A B M INDUSTRIES INC,95710,19.05,5.888877958,1.3,-0.05527211,45.434,7.346599069,0,0.03402191,0.081873951,1.292173741,0.000633548,0,0,0,0
2009,1,A B M INDUSTRIES INC,95710,20.66,5.894402834,1.833333333,-0.03674219,54.293,7.327881059,0,0.036478908,0.080765592,1.41285298,0.02203543,1,0,0,0
2010,1,A B M INDUSTRIES INC,95710,26.3,5.894402834,3.583333333,-0.06389776,64.121,7.345797284,0,0.04124184,0.086424681,1.606061026,0.025931645,1,0,0,0
2011,1,A B M INDUSTRIES INC,95710,20.62,5.891644212,4.25,-0.0443459,68.504,7.53934509,0,0.036549305,0.086316382,1.354959454,0.017090148,1,0,0,0
2012,1,A B M INDUSTRIES INC,95710,19.95,5.888877958,5.666666667,-0.03461919,62.582,7.533827925,0,0.033552476,0.073751349,1.215296838,0.023121433,1,0,0,0
2013,1,A B M INDUSTRIES INC,95710,28.59,5.869296913,5.75,-0.07894737,72.9,7.659282682,0,0.034399189,0.079454435,1.663420312,0.017461004,1,0,0,0
2007,0,ABIOMED INC,365410,15.54,5.897153868,6.083333333,-0.41085273,-40.93,4.779383963,1,-0.346773305,-0.437314358,4.600417976,0.014994529,0,0,1,0
2008,0,ABIOMED INC,365410,16.42,5.913503006,4.769230769,-0.22693997,-31.597,4.91967431,1,-0.232402654,-0.272427856,1.549894381,0.015123146,0,0,1,0
2009,1,ABIOMED INC,365410,8.73,5.789960171,7.181818182,-0.1369863,-19.024,4.871909481,1,-0.146824111,-0.176219941,3.578388973,0.035216758,1,1,1,1
2010,1,ABIOMED INC,365410,9.61,5.913503006,9.583333333,-0.57142856,-11.755,4.887246576,1,-0.089331854,-0.11222707,5.230594694,0.045002701,1,1,1,1
2011,1,ABIOMED INC,365410,18.47,5.894402834,8.916666667,-0.15503876,1.495,5.042850759,0,0.009713406,0.011837177,6.900147034,0.045520868,1,1,1,1
2012,1,ABIOMED INC,365410,13.44,5.894402834,8.666666667,-0.0550585,15.014,5.141657709,0,0.088318167,0.109527283,5.257372848,0.061405618,1,1,1,1
2005,0,ALBERTSONS INC,1310410,21.35,5.891644212,14.16666667,-0.02568493,446,9.790990521,0,0.025851939,0.080953215,1.63054144,0.022172465,0,0,0,0
2005,1,ABBOTT LABORATORIES,282410,39.43,5.913503006,14.69230769,-0.00214362,3372.065,10.27994268,0,0.115714681,0.233923108,4.210259804,0.100588776,0,0,0,0
2006,1,ABBOTT LABORATORIES,282410,48.71,5.834810737,16.08333333,0,1716.755,10.49623887,0,0.047452785,0.122152574,5.327886406,0.017885054,0,0,0,0
2007,1,ABBOTT LABORATORIES,282410,56.15,5.834810737,14.25,-0.00821187,3606.314,10.58948232,0,0.090807295,0.202846466,4.895083989,0.067896852,0,0,0,0
2008,1,ABBOTT LABORATORIES,282410,53.37,5.834810737,13.91666667,-0.01780944,4880.719,10.65538004,0,0.111605489,0.270843113,4.740015874,0.103541065,0,0,0,0
2009,1,ABBOTT LABORATORIES,282410,53.99,5.834810737,15.66666667,-0.00749485,5745.838,10.86699813,0,0.109618622,0.251397085,3.664198769,0.207673369,1,0,0,0
2010,1,ABBOTT LABORATORIES,282410,47.91,5.834810737,20,-0.01111317,4626.172,10.99311402,0,0.07780013,0.206634988,3.310503686,0.06960332,1,0,0,0
2011,1,ABBOTT LABORATORIES,282410,56.23,5.834810737,21.41666667,-0.01461073,4728.449,11.0067207,0,0.078445467,0.193473049,3.613052969,0.114573838,1,0,0,0
2012,1,ABBOTT LABORATORIES,282410,65.5,5.834810737,20.58333333,-0.00889205,5962.92,11.11596326,0,0.088687811,0.223155148,3.864819402,0.179209021,1,0,0,0
2013,1,ABBOTT LABORATORIES,282410,38.33,5.834810737,23,0,2576,10.66788506,0,0.055479245,0.094672441,2.357419107,0.051684434,1,0,0,0
2005,1,ARCTIC CAT INC,3967010,20.06,5.877735782,3.75,-0.05516155,23.746,5.743759312,0,0.076295801,0.125398041,2.468066961,0.137368758,0,0,0,0
2006,1,ARCTIC CAT INC,3967010,17.59,5.880532986,3.75,-0.05173688,22.07,5.79058383,0,0.067657049,0.114815759,1.861689878,0.116365073,0,0,0,0
2007,1,ARCTIC CAT INC,3967010,11.94,5.891644212,5,-0.00415628,-3.259,5.726515445,1,-0.010653878,-0.018019263,0.722905585,0.030830401,0,0,0,0
2008,1,ARCTIC CAT INC,3967010,4.79,5.897153868,5.166666667,-0.5079528,-9.508,5.530083635,1,-0.037855593,-0.057677376,0.42027122,0.036757351,0,0,0,0
2009,1,ARCTIC CAT INC,3967010,9.16,5.929589143,5.230769231,-0.75445817,1.875,5.50972836,0,0.00761935,0.0112048,1.181875116,0.126653793,1,0,0,0
2010,1,ARCTIC CAT INC,3967010,14.64,5.796057751,4.636363636,-1.33159272,13.007,5.612784982,0,0.047661099,0.071062523,1.554779115,0.0597357,1,0,0,0
2011,1,ARCTIC CAT INC,3967010,22.55,5.877735782,4.75,-0.36866358,29.941,5.546801126,0,0.11722445,0.216224219,4.039221214,0.088448037,1,0,0,0
2012,1,ARCTIC CAT INC,3967010,33.39,5.891644212,5.5,-0.56591639,39.745,5.727319949,0,0.129824103,0.227801596,3.307205741,0.139247346,1,0,0,0
2007,1,ACETO CORP,444610,8,5.880532986,1,-0.02890173,10.212,5.244272923,0,0.05418139,0.081809224,1.802915235,0.194006915,0,0,0,0
2008,1,ACETO CORP,444610,10.01,5.860786224,1,-0.03243243,13.473,5.408260864,0,0.060622832,0.095955388,1.330167155,0.246792729,0,0,0,0
2009,1,ACETO CORP,444610,5.15,5.880532986,1,-0.40575917,8.629,5.330126063,0,0.041997625,0.06095304,1.167089808,0.259900199,1,0,0,0
2010,1,ACETO CORP,444610,9,5.880532986,1,-0.04497751,6.581,5.450398764,0,0.028384609,0.04712698,1.042851465,0.150147958,1,0,0,0
2011,1,ACETO CORP,444610,6.9,5.880532986,1,-0.17452007,8.968,5.74513233,0,0.028774485,0.055763862,1.110677088,0.123631125,1,0,0,0
2012,1,ACETO CORP,444610,10.05,5.877735782,1.75,-0.08941878,16.981,5.704715373,0,0.056739508,0.101075576,1.447837896,0.07977155,1,0,0,0
2013,1,ACETO CORP,444610,25.01,5.834810737,2,-0.04429679,22.328,5.782069796,0,0.069035031,0.114714344,1.991809649,0.111036488,1,0,0,0
2005,1,AMCOL INTERNATIONAL CORP,02341W10,20.52,5.899897354,3.461538462,-0.05973121,41.045,5.912229222,0,0.098472576,0.145827306,2.455908959,0.047547571,0,0,1,0
2006,1,AMCOL INTERNATIONAL CORP,02341W10,27.74,5.82008293,4.666666667,-0.02436647,50.248,6.238762029,0,0.097145283,0.16845308,2.816830655,0.048313701,0,0,1,0
2007,1,AMCOL INTERNATIONAL CORP,02341W10,36.03,5.82008293,3.75,-0.01441961,56.735,6.481800688,0,0.087435942,0.161842968,3.077536295,0.04945386,0,0,1,0
2008,1,AMCOL INTERNATIONAL CORP,02341W10,20.95,5.857933155,4,-0.34138219,25.331,6.614162439,0,0.034020522,0.077653385,1.954826398,0.029810809,0,0,1,0
2009,1,AMCOL INTERNATIONAL CORP,02341W10,28.42,5.82008293,3.333333333,-0.02863962,34.799,6.600224178,0,0.047393294,0.092025059,2.312849447,0.037160547,1,1,1,1
2010,1,AMCOL INTERNATIONAL CORP,02341W10,31,5.840641657,4.583333333,-0.0140746,30.347,6.684727971,0,0.037976806,0.076138935,2.430306543,0.037128538,1,1,1,1
2011,1,AMCOL INTERNATIONAL CORP,02341W10,26.85,5.840641657,3.666666667,-0.02580645,58.521,6.745403394,0,0.070286242,0.152732177,2.180120864,0.030179216,1,1,1,1
2012,1,AMCOL INTERNATIONAL CORP,02341W10,30.68,5.840641657,2.25,-0.01862197,65.1,6.815201297,0,0.071491324,0.141092328,2.140019766,0.047106373,1,1,1,1
2013,1,AMCOL INTERNATIONAL CORP,02341W10,33.98,5.840641657,2.916666667,-0.02933507,30.2,6.77958094,0,0.039148743,0.076410484,2.450681075,0.052492862,1,1,1,1
2007,1,ALBERTO CULVER CO NEW,1307810,24.54,5.765191103,9,-0.01976675,78.264,7.305564489,0,0.054604184,0.08256698,2.497352512,0.036034271,0,0,0,0
2008,1,ALBERTO CULVER CO NEW,1307810,24.51,5.84932478,9.083333333,-0.01210165,228.154,7.289740206,0,0.072421612,0.094988852,2.400300485,0.299370782,0,0,0,0
2009,1,ALBERTO CULVER CO NEW,1307810,29.29,5.828945618,13.41666667,-0.01468429,119.374,7.351808849,0,0.075630258,0.098077944,2.272929638,0.320842923,1,0,0,0
2010,1,ALBERTO CULVER CO NEW,1307810,37.04,5.84932478,13.08333333,-0.04696532,155.31,7.538641343,0,0.082594934,0.11688617,2.808517891,0.193822392,1,0,0,0
2005,1,ADVO INC,758510,28.18,5.831882477,6.166666667,-0.15190691,39.953,6.173223446,0,0.083456228,0.215629975,5.312637882,0.108182093,0,0,0,0
2006,1,ADVO INC,758510,32.6,5.897153868,5.384615385,-0.23969319,20.797,6.256973861,0,0.039945221,0.101955574,4.360348464,0.078793892,0,0,0,0
2005,1,ADOBE SYSTEMS INC,00724F10,36.96,5.897153868,22.5,-0.02476882,602.839,7.800292108,0,0.247033272,0.323354928,8.548640469,0.21485302,0,0,0,0
2006,1,ADOBE SYSTEMS INC,00724F10,41.12,5.897153868,19.25,-0.00613309,505.809,8.693420885,0,0.084831015,0.098179576,4.577555081,0.316557494,0,0,0,0
2007,1,ADOBE SYSTEMS INC,00724F10,42.73,5.908082938,24.25,-0.0373506,723.807,8.650793407,0,0.126679675,0.155658022,5.178337305,0.158727779,0,0,0,0
2008,1,ADOBE SYSTEMS INC,00724F10,21.29,5.891644212,21.58333333,-0.05457997,871.814,8.669501833,0,0.149755102,0.197674382,2.762755724,0.155145223,0,0,0,0
2009,1,ADOBE SYSTEMS INC,00724F10,36.78,5.891644212,21.5,-0.11658031,386.508,8.893330685,0,0.053075449,0.079031311,3.749013931,0.171686022,1,0,0,0
2010,1,ADOBE SYSTEMS INC,00724F10,30.78,5.908082938,25,-0.0313569,774.68,9.004809306,0,0.095156113,0.149195351,2.687152672,0.102975363,1,0,0,0
2011,1,ADOBE SYSTEMS INC,00724F10,28.27,5.796057751,26.83333333,-0.01798561,832.847,9.104110923,0,0.092629301,0.144013613,2.330583338,0.121543055,1,0,0,0
2012,1,ADOBE SYSTEMS INC,00724F10,37.68,5.796057751,26.36363636,-0.02188184,832.775,9.207889672,0,0.083490208,0.124944075,2.565857695,0.158494383,1,0,0,0
2013,1,ADOBE SYSTEMS INC,00724F10,59.879,5.877735782,25.83333333,-0.02600404,289.985,9.247761197,0,0.027936096,0.043122793,4.19022055,0.083668763,1,0,0,0
2005,1,A D C TELECOMMUNICATIONS INC,88630,22.32,5.33753808,12.85714286,-0.04524887,110.7,7.336936914,0,0.055700326,0.11047939,2.626857475,0.077095442,0,0,0,0
2006,1,A D C TELECOMMUNICATIONS INC,88630,14.53,5.891644212,17.41666667,-0.08595988,65.7,7.385479031,0,0.058458483,0.107842015,1.920013738,0.092703583,0,0,0,0
2007,1,A D C TELECOMMUNICATIONS INC,88630,15.55,5.894402834,18.08333333,-0.21663172,106.3,7.476359125,0,0.064199909,0.112445415,2.182532751,0.322824873,0,0,0,0
2008,1,A D C TELECOMMUNICATIONS INC,88630,5.47,5.87211779,10.75,-0.03208556,-41.9,7.56112159,1,-0.023112962,-0.048567053,0.7718683,0.357774252,0,0,0,0
2010,1,A D C TELECOMMUNICATIONS INC,88630,,5.910796644,13.23076923,-0.10791367,62,7.296752194,0,0.052356731,0.179702048,2.866675978,0.385605835,1,0,0,0
2005,1,ANALOG DEVICES INC,3265410,35.87,5.811140993,26.90909091,-0.01987084,414.787,8.430373287,0,0.090501397,0.112362695,3.456159692,0.132961857,0,0,1,0
2006,1,ANALOG DEVICES INC,3265410,32.87,5.891644212,18.66666667,-0.01150086,549.482,8.291007768,0,0.137823561,0.159928727,3.167373587,0.075044985,0,0,1,0
2007,1,ANALOG DEVICES INC,3265410,31.7,5.929589143,15.84615385,-0.10056568,496.907,7.997309669,0,0.168473618,0.214142346,4.341151727,0.106593399,0,0,1,0
2008,1,ANALOG DEVICES INC,3265410,19.02,5.828945618,18.75,-0.00896593,786.284,8.036570822,0,0.169905648,0.216991707,2.569920079,0.199733912,0,0,1,0
2009,1,ANALOG DEVICES INC,3265410,31.58,5.828945618,19.58333333,-0.02808989,247.772,8.133086559,0,0.072675274,0.097822627,2.957683814,0.206965596,1,1,1,1
2010,1,ANALOG DEVICES INC,3265410,37.67,5.828945618,20.16666667,-0.28092081,712.084,8.37328379,0,0.164299553,0.22227747,3.142667464,0.314308929,1,0,1,1
2011,1,ANALOG DEVICES INC,3265410,35.78,5.828945618,18.33333333,-0.02376003,867.394,8.571422821,0,0.163121171,0.226824854,2.870948108,0.324591096,1,1,1,1
2012,1,ANALOG DEVICES INC,3265410,42.06,5.85220248,26.08333333,-0.04101723,651.236,8.634326594,0,0.115871138,0.156345708,2.830663452,0.100202648,1,1,1,1
2013,1,ANALOG DEVICES INC,3265410,50.93,5.831882477,25,-0.00255615,673.487,8.761354318,0,0.105533279,0.142098576,3.235419898,0.069762419,1,0,1,1
2005,0,ARCHER DANIELS MIDLAND CO,3948310,24.66,5.840641657,7,-0.11918951,1044.385,9.83086874,0,0.056155452,0.123838082,1.648850037,0.026972215,0,0,0,0
2006,0,ARCHER DANIELS MIDLAND CO,3948310,31.96,5.85220248,6.916666667,-0.28063612,1312.07,9.965054319,0,0.061689226,0.133790767,2.759968186,0.059836903,0,0,0,0
2007,1,ARCHER DANIELS MIDLAND CO,3948310,46.43,5.84932478,9.583333333,-0.03391473,2162,10.13137981,0,0.086073732,0.192126544,1.890773127,0.031172085,0,0,0,0
2008,1,ARCHER DANIELS MIDLAND CO,3948310,28.83,5.87211779,9.5,-0.04835298,1802,10.52021255,0,0.048629102,0.13358043,1.611193477,0.03224779,0,0,0,0
2009,1,ARCHER DANIELS MIDLAND CO,3948310,31.31,5.87211779,7.583333333,-0.14518519,1707,10.36046926,0,0.054044641,0.126453811,1.27315653,0.028470423,1,0,0,0
2010,1,ARCHER DANIELS MIDLAND CO,3948310,30.08,5.85220248,10.33333333,-0.25028016,1930,10.35929717,0,0.06117662,0.132110343,1.129370936,0.033116986,1,0,0,0
2011,1,ARCHER DANIELS MIDLAND CO,3948310,28.6,5.85220248,9.583333333,-0.20526724,2036,10.65003331,0,0.04825445,0.108251808,1.083655891,0.019494104,1,0,0,0
2012,1,ARCHER DANIELS MIDLAND CO,3948310,27.39,5.85220248,10.0625,-0.28855722,1223,10.63474907,0,0.029432291,0.068061662,1.08262452,0.030597493,1,0,0,0
2005,0,AUTOMATIC DATA PROCESSING IN,5301510,45.9,5.831882477,24.5,-0.01193887,1055.4,10.22616508,0,0.038217806,0.182475189,4.210206785,0.04618249,0,0,0,0
2006,1,AUTOMATIC DATA PROCESSING IN,5301510,49.25,5.855071922,19.08333333,0,1554,10.2216176,0,0.039010407,0.178388449,4.23506055,0.068823917,0,0,0,0
2007,1,AUTOMATIC DATA PROCESSING IN,5301510,44.53,5.85220248,18.33333333,-0.09261301,1138.7,10.19054068,0,0.038320531,0.198372152,5.044819441,0.063517412,0,0,0,0
2008,1,AUTOMATIC DATA PROCESSING IN,5301510,39.34,5.857933155,15.58333333,-0.00412626,1235.7,10.07472288,0,0.048945834,0.228357446,4.203013446,0.034429188,0,0,0,0
2009,1,AUTOMATIC DATA PROCESSING IN,5301510,42.82,5.857933155,16.33333333,-0.01193317,1332.6,10.14064051,0,0.052390964,0.249539699,3.340519295,0.095443744,1,0,0,0
2010,1,AUTOMATIC DATA PROCESSING IN,5301510,46.28,5.837730447,20.08333333,-0.00282167,1211.4,10.1985126,0,0.044944197,0.220354451,3.615309642,0.064820111,1,0,0,0
2011,1,AUTOMATIC DATA PROCESSING IN,5301510,54.01,5.837730447,22.41666667,-0.02483855,1254.2,10.44112939,0,0.036631492,0.208671636,4.301767603,0.051723239,1,0,0,0
2012,1,AUTOMATIC DATA PROCESSING IN,5301510,56.93,5.855071922,24.5,-0.00189825,1388.5,10.33580554,0,0.045058493,0.227101734,4.408009814,0.045215446,1,0,0,0
2013,0,AUTOMATIC DATA PROCESSING IN,5301510,80.799,5.857933155,25.5,-0.00718649,1405.8,10.3818654,0,0.042273949,0.220375127,5.368719365,0.055137837,1,0,0,0
2005,1,AUTODESK INC,5276910,42.93,5.831882477,11.83333333,-0.10899182,328.9,7.216562633,0,0.241696061,0.415645141,11.77740933,0.2514437,0,0,1,0
2006,1,AUTODESK INC,5276910,40.46,5.85220248,14.25,-0.06469186,289.7,7.494708263,0,0.161168289,0.259820628,9.061607175,0.489344503,0,0,1,0
2007,1,AUTODESK INC,5276910,49.76,5.929589143,16,-0.01478197,356.2,7.700702545,0,0.161256734,0.289475823,7.691588785,0.510653686,0,0,1,0
2008,1,AUTODESK INC,5276910,19.65,5.549076085,17.88888889,-0.00228728,183.6,7.792225052,0,0.07584583,0.140077821,2.859862852,0.415410385,0,0,1,0
2009,1,AUTODESK INC,5276910,25.41,5.837730447,16.75,-0.05589307,58,7.80310834,0,0.023700556,0.039362063,3.695336946,0.346470029,1,1,1,1
2010,1,AUTODESK INC,5276910,38.2,5.831882477,17.41666667,-0.22342996,212,7.933294957,0,0.076051083,0.131734294,5.738122165,0.439318405,1,1,1,1
2011,1,AUTODESK INC,5276910,30.33,5.837730447,18.66666667,-0.07986549,285.3,8.07986583,0,0.088388376,0.151521589,4.319082267,0.415016502,1,1,1,1
2012,0,AUTODESK INC,5276910,35.35,5.837730447,20.83333333,-0.02212389,247.4,8.368553962,0,0.057422709,0.121084573,4.254878622,0.499473326,1,1,1,1
2013,1,A D T CORP,00101J10,40.47,5.814130532,10.08333333,-4.33826645,421,9.201703179,0,0.042469485,0.097408607,1.966026715,0.014902808,1,0,0,0
2011,1,AEGION CORP,00770F10,15.34,4.941642423,8,-0.00754432,26.547,7.026394837,0,0.023598089,0.041432299,0.942140677,0.115133974,1,0,0,0
2012,1,AEGION CORP,00770F10,22.19,5.84932478,7,-0.06518905,52.661,7.105699169,0,0.043239395,0.075303582,1.236017866,0.118826914,1,0,0,0
2013,1,AEGION CORP,00770F10,21.89,5.85220248,6.333333333,-0.18476791,44.351,7.218116719,0,0.037281773,0.071629958,1.172096669,0.129769093,1,0,0,0
2007,0,ALMOST FAMILY INC,2040910,19.43,4.941642423,1.25,-0.00912894,7.604,4.731459166,0,0.116003563,0.22426956,3.084976752,0.008858507,0,0,0,0
2008,0,ALMOST FAMILY INC,2040910,44.98,5.855071922,3.583333333,-0.43232115,16.293,5.08631156,0,0.102020001,0.173070836,3.861516533,0.019314133,0,0,0,0
2009,0,ALMOST FAMILY INC,2040910,39.53,5.834810737,6.583333333,-0.06669631,24.564,5.217047656,0,0.134626395,0.165723568,2.428153541,0.120584357,1,0,0,0
2010,0,ALMOST FAMILY INC,2040910,38.42,5.84932478,6.75,-0.08601063,30.713,5.398737197,0,0.139524002,0.168597119,1.948544091,0.261427894,1,0,0,0
2011,0,ALMOST FAMILY INC,2040910,16.58,5.834810737,5.083333333,-0.15096305,20.802,5.528722489,0,0.082935309,0.100835204,0.752902078,0.153061642,1,0,0,0
2012,0,ALMOST FAMILY INC,2040910,20.26,5.855071922,4.916666667,0,17.284,5.522496382,0,0.069341528,0.084594866,0.92516849,0.104137596,1,0,0,0
2013,0,ALMOST FAMILY INC,2040910,32.33,5.891644212,5,-0.36525172,8.226,5.867241129,0,0.024219852,0.039821336,1.419606547,0.04912962,1,0,0,0
2005,1,A G C O CORP,108410,16.57,5.796057751,10.36363636,-0.15532207,31.6,8.258992248,0,0.008183984,0.022316384,1.059122571,0.051334559,0,0,0,0
2006,1,A G C O CORP,108410,30.94,5.880532986,9.166666667,-0.24140013,-64.9,8.322515612,1,-0.015773484,-0.043452062,1.88875691,0.033046721,0,0,0,0
2007,1,A G C O CORP,108410,67.98,5.877735782,12.66666667,-0.36845507,246.3,8.473993372,0,0.051445401,0.120558003,3.048285756,0.028241585,0,0,0,0
2008,1,A G C O CORP,108410,23.59,5.888877958,12.33333333,-0.12650779,400,8.508313887,0,0.080729797,0.204394481,1.107102688,0.026338875,0,0,0,0
2009,1,A G C O CORP,108410,32.34,5.87211779,13.33333333,-0.5680373,135.7,8.529753974,0,0.026806527,0.056702323,1.249357496,0.131730847,1,0,0,0
2010,1,A G C O CORP,108410,50.66,5.87211779,15.75,-0.21026592,220.5,8.601148236,0,0.040556199,0.082944628,1.775005658,0.142210896,1,0,0,0
2011,1,A G C O CORP,108410,42.97,5.87211779,13.83333333,-0.29016976,583.3,8.889887143,0,0.080375351,0.194744925,1.394387403,0.133237691,1,0,0,0
2012,1,A G C O CORP,108410,49.12,5.87211779,17.91666667,-0.0488713,522.1,8.951932272,0,0.067613769,0.150691258,1.379154898,0.107658601,1,0,0,0
2013,1,A G C O CORP,108410,59.19,5.87211779,18,-0.13436482,597.2,9.040713891,0,0.070768356,0.148920253,1.437049718,0.135616048,1,0,0,0
2005,1,ANGELICA CORP,3466310,16.54,5.204006687,1.571428571,-0.03181818,0.248,5.806423295,0,0.006996995,0.015506727,1.072963196,0.015147792,0,0,0,0
2006,1,ANGELICA CORP,3466310,25.8,5.891644212,1.9,-0.34916202,3.633,5.820987566,0,0.010802694,0.02462283,1.675874846,0.01886986,0,0,0,0
2007,1,ANGELICA CORP,3466310,19.1,5.87211779,1.416666667,-0.11014493,3.939,5.772714455,0,0.012293662,0.026006351,1.043974766,0.009687635,0,0,0,0
